index,index_0,index_1,index_2,index_3,index_4,id_0,id_1,id_2,id_3,id_4,question_0,question_1,question_2,question_3,question_4,answer_0,answer_1,answer_2,answer_3,answer_4,output_answer_0,output_answer_1,output_answer_2,output_answer_3,output_answer_4,output_explanation_0,output_explanation_1,output_explanation_2,output_explanation_3,output_explanation_4,explanation_0,explanation_1,explanation_2,explanation_3,explanation_4,other_answer1_0,other_answer1_1,other_answer1_2,other_answer1_3,other_answer1_4,other_answer2_0,other_answer2_1,other_answer2_2,other_answer2_3,other_answer2_4,img_name_0,img_name_1,img_name_2,img_name_3,img_name_4
200,323,1725,962,284,679,543631002,506540001,318219015,147393001,563964000,What room is this?,What type of trees is showing?,What is she wearing on her head?,What is she doing?,What sport is being played?,bedroom,palm,headphones,skiing,frisbee,bedroom,palm,headphones,skiing,frisbee,there is a bed in it,they have palm leaves on them,they are on his head,he is on skis,the man is holding a frisbee,there is a blue bed in front of the window,"they have long, green leaves",she is listening through them to hear what is going on with the computer,she is wearing mittens and riding through snow on skis,a man in a blue shirt is about to throw a frisbee,norwood,parade,lighthouse,light,reading,running,outside,cucumber,clothing,standing,543631002.jpg,506540001.jpg,318219015.jpg,147393001.jpg,563964000.jpg
205,1247,1242,1604,1436,916,210846002,341603005,236412007,92700000,315863004,What type of soup is this?,Is the chair checked or solid?,Would a vegetarian eat this?,What sport is being played?,Is this a passenger train?,tomato,checked,yes,soccer,no,tomato,checked,yes,soccer,no,it is red and looks like tomato sauce,it has a green and white checkered pattern,there is no meat in the dish,two women are chasing a soccer ball,it is a steam engine,it is red and solid colored,it has a plaid design,the pizza has no meat as a topping,they are going after a soccer ball,there are no passenger cars,chair,white,curly,taking off,palm,filter,billabong,parade,sandwich,broccoli,210846002.jpg,341603005.jpg,236412007.jpg,92700000.jpg,315863004.jpg
210,1889,247,805,152,1515,282940014,408049000,440528001,533281002,229968003,Is this a passenger train?,What is the boy in the Red Hat doing?,What type of food is featured on the pedestal?,Is this a restaurant?,What sport is the man practicing?,no,skiing,cake,yes,surfing,no,skiing,cake,yes,surfing,the train is above the bus,he has skis on his feet and is holding ski poles,it has a chocolate crust and is topped with a chocolate frosting,there is a pizza oven,he is riding a surfboard on a wave,"it is a monorail for passengers, not a train","he has the proper equipment, and there is snow",it is a slat baked confection that is larger and softer than a cookie and topped with icing,it is a pizza restaurant with a large wood fired oven,he's on a surfboard on top of a wave,mustache,pigeons,commercial,bedroom,beer,left,ferris wheel,glasses,dinner,horse,282940014.jpg,408049000.jpg,440528001.jpg,533281002.jpg,229968003.jpg
215,900,1189,752,995,174,445944003,468608000,44800003,190292028,10114000,Is this a formal event?,What event is this person celebrating most likely?,What are the people doing?,Is this a wall?,Which room is this?,yes,birthday,skateboarding,no,kitchen,yes,birthday,skateboarding,no,kitchen,the man is wearing a suit and tie,he is cutting a cake,they are on skateboards,there are papers on the table,there is a stove and a sink,a man is dressed up nicely in a suit and tie,"the woman is cutting a cake that says ""happy birthday""",they are doing tricks on skateboards in the street with ramps,there are loose items laying freely on the surface,there are cabinets and a stove in it,office,bathroom,dirt,church,sitting,seagull,bear,hat,shower,monochrome,445944003.jpg,468608000.jpg,44800003.jpg,190292028.jpg,10114000.jpg
220,1259,835,1721,1798,244,57224002,180283002,375357002,117841002,14743000,Is the weather warm?,Is the man happy?,Is the sky cloudy?,Where is this picture taken?,Does the fence look hand built?,no,yes,yes,zoo,yes,no,yes,yes,zoo,yes,there is snow on the ground,he is smiling and showing his teeth,the sky is grey and covered with clouds,there are two zebras in an enclosure,it is made out of wood,there is snow and everyone is bundled up,he is wearing a tuxedo and smiling,the dark grey clouds are behind the kite,the zebras are in front of a fence,the fence is very irregular and is made from rough pieces,standing,surfing,surfboard,modern,bird,mustache,ladybug,grazing,commercial,frisbee,57224002.jpg,180283002.jpg,375357002.jpg,117841002.jpg,14743000.jpg
225,758,1339,1709,1328,1137,438185001,85285002,243600002,84643003,333924000,Where was this photo taken?,Is this a zoo?,What is this person sitting on?,Does this elephant have tusks?,What is the man doing?,airport,yes,chair,yes,surfing,airport,yes,chair,yes,surfing,there is a large plane on the tarmac,there are zebras in an enclosure,it has a back and four legs,there are long white bones sticking out from its mouth,he is riding a wave on a surfboard,there is an airplane parked on the tarmac,the zebras are standing next to a wooden fence,there are three men sitting in chairs at the library,there are white bones besides the mouth,he is riding in a board on the water,orange juice,daytime,off,london,train,riding elephant,norwood,skis,asian,horse,438185001.jpg,85285002.jpg,243600002.jpg,84643003.jpg,333924000.jpg
230,415,192,1460,1394,928,155131001,404262001,487607003,560948002,578324007,What type of hat is on her head?,Is the giraffe in its natural habitat?,Is this a new picture?,What kind of room is this?,Is this picture in color?,visor,no,no,bathroom,yes,visor,no,no,bathroom,yes,it is a sun hat that is shaped like a visor,there is a fence around the giraffe,the photo is in black and white,there is a sink and a shower,the computer screen is blue,there is not a top to the hat and the band goes around her head,you can see the fences in the background,"the clothing, hair and sports equipment depicted are all old fashioned",it has sinks to wash hands in,"there is blue, green, and yellow visible in the picture",metal,cake,music,siamese,horses,produce,chair,sand,van,beach,155131001.jpg,404262001.jpg,487607003.jpg,560948002.jpg,578324007.jpg
235,1864,464,12,1495,1114,253835005,420059001,131539010,490694000,463454004,Is this a train station?,What kind of flooring is seen?,What are the people doing?,Is the computer on or off?,Is it raining?,yes,wood,skiing,on,yes,yes,wood,skiing,on,yes,there is a train on the tracks and a woman and a child waiting to board,it is brown and has a grain,they are on a snowy mountain with skis and poles,the screen is lit up,the couple is holding an umbrella,there is a woman waiting on a platform with a train in front of her,it is brown and made of wood,there are people riding skis,the computer screen shows some bright light on it,two people are standing under an umbrella,cow,pitching,taking picture,hat,right,ram,dog,lemon,drinking,grazing,253835005.jpg,420059001.jpg,131539010.jpg,490694000.jpg,463454004.jpg
240,786,1156,1004,1290,389,308764000,32990001,453302001,345154005,154154002,What type of bird is the woman holding?,What room is this?,What is on top of the refrigerator?,Does the grass need to be cut?,What is the boy doing?,owl,bathroom,microwave,yes,skateboarding,owl,bathroom,microwave,yes,skateboarding,it has a large feathers and a large beak,there is a toilet and sink in it,it has a microwave on top of it,the grass is very long,he is doing a trick on a skateboard,it has bright yellow eyes and a big body,there is towel and sink and shower nozzle,it has dials and a door like a microwave,the grass comes up to the calves of the man,the boy's feet are on a skateboard,cutting,elephants,fire hydrant,van,double decker,surfboard,shower,banana,skis,nose,308764000.jpg,32990001.jpg,453302001.jpg,345154005.jpg,154154002.jpg
245,1493,355,1525,1274,1111,228411000,413959005,256844002,344171004,273825001,Are the trees bare?,Is the image taken in color or monochrome?,What kind of flooring is in the bathroom?,Is the sky cloudy?,Is the man amused?,yes,color,tile,yes,no,yes,color,tile,yes,no,the trees have no leaves on them,the horse is pulling the carriage,"it is made of large, square tiles",there are white clouds in the sky,he is frowning and looking off to the side,the branches have lost all of their leaves,the brightly colored horse and carriage are in full color,it consists of squares joined together,there are clouds on the horizon,he looks rather irritated right now,graffiti,curly,veggie,breakfast,elephant,dining room,texting,left,volleyball,kite,228411000.jpg,413959005.jpg,256844002.jpg,344171004.jpg,273825001.jpg
250,339,808,404,132,1743,151347006,178587002,154785000,275881004,376416001,Is it cloudy?,What activity is the person taking part in?,What game are they playing?,Is this a harbor?,What game are they playing?,no,skiing,soccer,no,baseball,no,skiing,soccer,no,baseball,the sky is clear and blue,he is on skis,they are kicking a soccer ball,there is only one boat in the water,they are wearing baseball uniforms and holding baseball bats,the sky is completely clear,he is wearing snow goggles and has ski poles in his hands,the young girls are trying to kick a soccer ball,the ship is sailing across open water,there is a dugout on a baseball diamond with a bat boy present,painting,sleeping,beach,ladybug,texting,owl,boat,hay,skateboard,tomato,151347006.jpg,178587002.jpg,154785000.jpg,275881004.jpg,376416001.jpg
255,480,1019,254,1753,359,70190004,206878001,68093002,376900005,414201000,Is this a restaurant?,Does this food look sweet?,Who is on the red motorcycle?,What game are they playing?,What food is pictured?,no,yes,woman,tennis,cake,no,yes,woman,tennis,cake,there are no tables or waiters,it is a sugar coated donut,he is wearing a helmet,the man is holding a tennis racket,it is covered in frosting,it is a lobby in a public place,it is covered in a layer of sugar,she has large breasts and tight jeans,a man is throwing a ball into the air with his left hand while holding a racket with his right hand,it is covered in frosting and being cut by a knife,suit,bear,bathroom,siamese,checked,olympics,throwing frisbee,black and white,dinner,texting,70190004.jpg,206878001.jpg,68093002.jpg,376900005.jpg,414201000.jpg
260,1783,1737,1732,1151,166,510117002,113736002,506717000,204036001,534019002,What food is this?,Does animal like picnic sites?,Is this a professional game?,Is the place clean?,Does this meal appear cooked?,pizza,yes,no,no,yes,pizza,yes,no,no,yes,it is a thick crust with melted cheese on top,the bear is near the shore,the players are children,there is trash all over the ground,the broccoli is browned and the meat is cut up,it has cheese and crust,it is a bear and they like to raid those sites,the field is not a professional field but a field near a park,there is trash alongside of the fence and bus,the colors of the vegetabbles are dark,commercial,china,norwood,cloudy,green beans,billabong,modern,shower,train station,left,510117002.jpg,113736002.jpg,506717000.jpg,204036001.jpg,534019002.jpg
265,1719,376,1632,1475,43,375286000,546428001,369485004,518383006,526721000,What are the people doing?,Where is this?,What room is this?,What are these people doing?,What is the cat doing?,walking,kitchen,bathroom,snowboarding,eating,walking,kitchen,bathroom,snowboarding,eating,they are all holding their luggage and walking down the sidewalk,there is a stove and a microwave,there is a toilet and a sink,they are on a snowboard on the snow,the cat is bending over to eat from a bowl,they have places they need to go,the stove has a microwave above it,there is a shower on the right side of the room,they are sliding on board down a slope specially groomed for snow sports,the cat's face is in a food bowl,driving,pigeons,polar,strawberries,bathroom,christmas,hot dog,landing,nothing,daytime,375286000.jpg,546428001.jpg,369485004.jpg,518383006.jpg,526721000.jpg
270,1093,1854,781,755,1405,199764002,515612005,177101003,44934001,495680001,Is it possible that this event is a farmers market?,What instrument is this?,Is this a train station?,What type of utensil is on the plate?,What sport is on the television?,yes,keyboard,no,fork,baseball,yes,keyboard,no,fork,baseball,there is a farmer's market in the background,it is a keyboard,there is a plane on the runway,it has four prongs and is silver,there is a baseball game on,there are items for sale that can be grown on a farm,it's a long instrument with black and white keys,there is an airplane waiting on the tarmac,it has four prongs and is made of metal,they are playing in a baseball court,nothing,pitching,ferris wheel,toilet,tower,reading,brushing teeth,strawberries,packing,walking,199764002.jpg,515612005.jpg,177101003.jpg,44934001.jpg,495680001.jpg
275,1837,1486,1344,209,1768,121162002,489763003,347823001,12238002,283190003,What vehicle is this?,Is it winter?,What kind of party is this?,What is the man doing?,What room is this?,motorcycle,yes,birthday,riding motorcycle,kitchen,motorcycle,yes,birthday,riding motorcycle,kitchen,it has two wheels and a motor,there is snow on the ground,the babies are wearing birthday hats,he is on a vehicle with two wheels,there is a stove and sink,"it has two wheels, handlebars, and is motorized",there is snow on the ground,they are wearing birthday hats,he's on the road on a motorcycle,you can cook on the stove and wash dishes in the sink,mustache,bedroom,dinner,strawberries,microwave,train station,fresh,throwing frisbee,younger,taking off,121162002.jpg,489763003.jpg,347823001.jpg,12238002.jpg,283190003.jpg
280,690,470,815,378,630,171717004,27146003,178911004,284400002,561256001,What kind of room is this?,Is this a commercial kitchen?,What type of vehicle is this?,What is man doing?,Are the people having a party?,bathroom,yes,train,texting,no,bathroom,yes,train,texting,no,there is a toilet and a tub,there are lots of appliances and counters,it is on train tracks,he is holding his phone in his hand,the woman is taking a selfie in the mirror,there is a tub and a toilet next to the sink,there are industrial machines and everything is tiled,it is a vehicle with multiple attached cars on a train track,he is holding a phone and typing,there is only one person in the picture,rainy,zoo,london,flying kite,produce,necklace,bathroom,juice,boots,china,171717004.jpg,27146003.jpg,178911004.jpg,284400002.jpg,561256001.jpg
285,1806,341,1124,309,1815,118432009,544607001,464098002,280678007,129100004,Is it raining?,What game is this?,Is this an escalator?,What kind of utensil is in the image?,What kind of animal is this?,no,frisbee,yes,fork,cow,no,frisbee,yes,fork,cow,the sky is clear and the people are flying kites,the players are throwing a frisbee,there are escalators in the building,it has a long end,it is brown and white and looks like a cow,people are outside wearing t-shirts and shorts and flying kites,both women are trying to catch a frisbee,it has stairs that automatically move up,it has long prongs on it,it has a big utter,canopy,mustache,kitchen,football,color,horses,woman,horses,motorcycle,commercial,118432009.jpg,544607001.jpg,464098002.jpg,280678007.jpg,129100004.jpg
290,429,1078,1173,78,1261,418144001,460454001,205247001,528575001,81299000,What type of birds are these?,What sport is this?,What kind of vehicle is this?,What is the boy doing?,Does this meal include meat?,pigeons,skateboarding,bus,sleeping,no,pigeons,skateboarding,bus,sleeping,no,they are gray and have wings,the man is jumping up on a skateboard,it is long and has windows,he is laying on his bed with his eyes closed,there is only vegetables and noodles,"they are fat, urban,, dove-like birds",both feet are on a board with wheels,it is long and seats many people,his eyes are closed in his bed,there are only vegetables on the plates,left,no,bathroom,bedroom,tower,packing,talking on phone,cows,skiing,sandwich,418144001.jpg,460454001.jpg,205247001.jpg,528575001.jpg,81299000.jpg
295,1960,1210,189,1227,1121,261563004,76522000,535135007,471446002,463918000,What kind of animal is this?,What is the cat doing?,Is he near the crest of the wave?,Is this a two way street?,What game are they playing?,dog,sleeping,yes,no,wii,dog,sleeping,yes,no,wii,it is a small puppy with a long snout,it is laying on the couch with its eyes closed,he is on the crest of the wave,there is only one vehicle on the street,they are holding wii controllers,the black one is a labrador holding a frisbee in it's mouth with a pit bull tugging on it,he is curled up with his head resting on the remote,his surfboard is nearly to the top,a car and a truck fill the entire street facing the same direction,the boys are holding wii controllers,walking,reading,bear,cats,rose,glasses,woman,cows,overcast,graduation,261563004.jpg,76522000.jpg,535135007.jpg,471446002.jpg,463918000.jpg
