index,index_0,index_1,index_2,index_3,index_4,id_0,id_1,id_2,id_3,id_4,statement_0,statement_1,statement_2,statement_3,statement_4,answer_0,answer_1,answer_2,answer_3,answer_4,output_answer_0,output_answer_1,output_answer_2,output_answer_3,output_answer_4,output_explanation_0,output_explanation_1,output_explanation_2,output_explanation_3,output_explanation_4,explanation_0,explanation_1,explanation_2,explanation_3,explanation_4,other_answer1_0,other_answer1_1,other_answer1_2,other_answer1_3,other_answer1_4,other_answer2_0,other_answer2_1,other_answer2_2,other_answer2_3,other_answer2_4,img_name_0,img_name_1,img_name_2,img_name_3,img_name_4
125,6383,10874,675,10014,8755,4750766294.jpg#2r1e,421153376.jpg#2r1n,534570169.jpg#2r4c,6647904677.jpg#0r1n,4948403203.jpg#3r1c,A child is reading.,A white dog is chasing a stick.,A person in pajamas.,A group of people a picking up biking as a hobby.,A man is indoors.,entailment,neutral,contradiction,neutral,contradiction,entailment,neutral,contradiction,neutral,contradiction,a girl is a child,just because a dog is running with a rope in its mouth doesn't mean it is chasing a stick,a person cannot be wearing a suit and pajamas simultaneously,just because people are riding bikes doesn't mean they are picking up biking as a hobby,the man cannot be indoors and on the beach at the same time,one child reading means there is a child reading,we cannot see what the dog is chasing,a man is either in a tuxedo or pajamas,it's not clear if they are picking up biking as a hobby it could be a one time thing,one cannot be indoors and outdoors at the beach simultaneously,contradiction,entailment,entailment,entailment,entailment,neutral,contradiction,neutral,contradiction,neutral,4750766294.jpg%232r1e.jpg,421153376.jpg%232r1n.jpg,534570169.jpg%232r4c.jpg,6647904677.jpg%230r1n.jpg,4948403203.jpg%233r1c.jpg
130,14108,6877,6650,832,5781,5123000955.jpg#0r1n,4062259729.jpg#3r1c,316298162.jpg#3r1c,230486268.jpg#1r1e,1097710887.jpg#2r5e,The sign was hand painted.,Man playing drums,A group of businessman ate on the road,The boy is playing in the sand.,A young girl is making bubbles outside.,contradiction,contradiction,contradiction,entailment,entailment,contradiction,contradiction,contradiction,entailment,entailment,the sign cannot be both hand painted and be in the air,the man cannot be playing drums and leaning out of the sailboat simultaneously,the group of businessmen cannot be walking and eating simultaneously,a boy is playing in the sand with a shovel,a young girl is blowing bubbles outside,explanation: there is no sign that is hand painted in this photograph,the man can not be playing drums if he is steering a boat,"if businessmen ate on the road, they are sitting, not walking",digs into the sand is a way of saying playing in the sand,a young girl is making bubble outside. is the same as a small girl blows bubbles,entailment,entailment,entailment,contradiction,contradiction,neutral,neutral,neutral,neutral,neutral,5123000955.jpg%230r1n.jpg,4062259729.jpg%233r1c.jpg,316298162.jpg%233r1c.jpg,230486268.jpg%231r1e.jpg,1097710887.jpg%232r5e.jpg
135,11957,5076,3207,1530,2356,135444196.jpg#1r1n,125635185.jpg#0r3c,7784556300.jpg#0r1c,4971484184.jpg#1r1c,3194533056.jpg#1r1c,A woman is walking down the street to go to her interview.,The children are playing a board game.,They are jogging.,A fully clothed woman poses next to a blue car.,People are sitting in church.,neutral,contradiction,contradiction,contradiction,contradiction,neutral,contradiction,contradiction,contradiction,contradiction,a woman walking down the street is not assumed to be going to an interview,the children cannot be playing a board game and swinging on a barrel at the same time,the people cannot be jogging and riding bikes at the same time,the woman cannot be fully clothed if she is wearing a white dress,the people cannot be sitting and standing at the same time,"the woman is walking down the street, but is in clothing that wold not be suited for an interview, and so she might be going somewhere else",children cannot be playing outdoors and playing a board game at the same time,there are no jogging in a bicycle race,being half naked is not the same as fully clothed,people cannot be dancing and sitting at the same time,entailment,entailment,entailment,entailment,entailment,contradiction,neutral,neutral,neutral,neutral,135444196.jpg%231r1n.jpg,125635185.jpg%230r3c.jpg,7784556300.jpg%230r1c.jpg,4971484184.jpg%231r1c.jpg,3194533056.jpg%231r1c.jpg
140,7902,12614,5328,731,8941,6053720349.jpg#4r1c,1606988704.jpg#4r2n,160566014.jpg#0r5c,3560502528.jpg#1r1c,618771382.jpg#4r1e,man eats hot dog,Three children are visiting a farm.,Two people are reading the newspaper at the park.,Green bike is coated with red colour.,Two girls are standing on front of a flag.,contradiction,neutral,contradiction,contradiction,entailment,contradiction,neutral,contradiction,contradiction,entailment,a baby is not a man,just because the children are in a field doesn't mean they are visiting a farm,the people cannot be sitting on the back of a car and reading the newspaper at the park simultaneously,the bike is either red or green,two girls are standing in front of an american flag,a baby is not a man and a suitcase is not a hot dog,"three children are playing with hay, but we cannot say for sure if it is a farm",sitting on a car is different from reading a newspaper at the park,the bike is either red or green,two girls in front of a flag is the same as two girls in front of a flag,entailment,entailment,entailment,entailment,contradiction,neutral,contradiction,neutral,neutral,neutral,6053720349.jpg%234r1c.jpg,1606988704.jpg%234r2n.jpg,160566014.jpg%230r5c.jpg,3560502528.jpg%231r1c.jpg,618771382.jpg%234r1e.jpg
145,9245,13641,10970,10441,9640,4828433053.jpg#0r3c,48614561.jpg#4r1n,2705922624.jpg#4r1n,1737441377.jpg#0r2n,1558753996.jpg#2r1n,Nobody has shorts.,The crying baby is hungry.,A man taking a video of girls outside for a movie.,The man and his son selling vegetables at a market.,The older man is a musician.,contradiction,neutral,neutral,neutral,entailment,contradiction,neutral,neutral,neutral,entailment,"if nobody has shorts, then the person cannot be wearing shorts",the baby is not necessarily hungry,the man is not necessarily taking a video for a movie,the man and boy are not necessarily selling vegetables at a market,a man playing a guitar is a musician,person is contradictory to nobody,the crying baby is crying for the toy and may not for food,we cant assure that a man taking a video of girls outside for a movie,"though the placement of the seat and wheeled cart suggest selling of vegetables, there is no way for sure to know they are being sold. there is no evidence in the photo of a market and also no way to determine if the boy is the man's son",the man is playing a musical instrument,entailment,entailment,entailment,entailment,contradiction,neutral,contradiction,contradiction,contradiction,neutral,4828433053.jpg%230r3c.jpg,48614561.jpg%234r1n.jpg,2705922624.jpg%234r1n.jpg,1737441377.jpg%230r2n.jpg,1558753996.jpg%232r1n.jpg
150,13821,3775,10331,4974,7378,7003919692.jpg#0r2n,5631556013.jpg#1r1c,4071750215.jpg#4r1n,4347441967.jpg#1r1c,141203926.jpg#4r4c,Black people traverse down a street in search of a store to shop at.,A boy is asleep.,A girl jumps into a pile of leaves after raking.,A young boy is running away screaming.,The husband is alone in the kitchen.,neutral,contradiction,neutral,contradiction,contradiction,neutral,contradiction,neutral,contradiction,contradiction,just because people are walking down a street doesn't mean they are in search of a store to shop at,the boy cannot be jumping and asleep simultaneously,just because a girl is throwing leaves into the air doesn't mean she is raking them,a young boy is either running away screaming or practicing martial arts,the husband is either alone or with his wife,"though there are black people traversing down a street, it is not clear whether they are in search of a store",one cannot leap while asleep,the girl is sitting in leaves. it is unclear if she jumped and whether it was after raking,"the young boy is not running away, he's facing off against a man in a black cape",the woman can not also be the husband,entailment,entailment,entailment,entailment,entailment,contradiction,neutral,contradiction,neutral,neutral,7003919692.jpg%230r2n.jpg,5631556013.jpg%231r1c.jpg,4071750215.jpg%234r1n.jpg,4347441967.jpg%231r1c.jpg,141203926.jpg%234r4c.jpg
155,12474,4662,9217,6686,2490,512309690.jpg#4r1n,4859170265.jpg#1r2e,688926797.jpg#4r1e,3431671749.jpg#0r1c,620595746.jpg#1r1e,A woman performing a concert.,Two blonde women are standing together in public.,A woman is on her feet.,A horse is zooming off with fire coming out of its ass.,a black lady walking on beach between crowd,neutral,entailment,entailment,contradiction,entailment,neutral,entailment,entailment,contradiction,entailment,a woman playing an instrument is not assumed to be performing a concert,two blond women are standing together in public in a crowded area,a woman is on her feet because she is standing,a car is not a horse,a woman is a lady,"the women could be performing a concert, or she could be teaching a music lesson. the photo does not specify",females are women,standing means on feet,a horse is a animal and a car is a machine,walking down a beach crowded implies that she was walking on beach between crowd,entailment,contradiction,contradiction,entailment,contradiction,contradiction,neutral,neutral,neutral,neutral,512309690.jpg%234r1n.jpg,4859170265.jpg%231r2e.jpg,688926797.jpg%234r1e.jpg,3431671749.jpg%230r1c.jpg,620595746.jpg%231r1e.jpg
160,5107,4857,738,8034,11050,20702864.jpg#4r1e,177591612.jpg#0r3c,4948865477.jpg#4r1c,4964794183.jpg#0r1e,3799708677.jpg#2r1n,City workers are working outside.,The men are swimming in the ocean.,The man is enjoying the sun.,A man and two women are in front of a crowd.,Two men are talking about problems.,entailment,contradiction,contradiction,entailment,neutral,entailment,contradiction,contradiction,entailment,neutral,city workers are working outside on the street,the men cannot be doing a handstand and swimming simultaneously,the man cannot be sitting in a folding chair and enjoying the sun at the same time,a man and two women are in front of a crowd because they are in front of a crowd of people,just because two men are talking doesn't mean they are talking about problems,construction workers are jackhammering implies to workers are working outside,the men are either posing or swimming,the man cannot be trying to find shelter from the rain while enjoying the sun at the same time,answer: there are 3 people a man and 2 women in front of a crowd,problems- although they are both talking they could be talking about anythingindeed there are two men,contradiction,entailment,entailment,contradiction,entailment,neutral,neutral,neutral,neutral,contradiction,20702864.jpg%234r1e.jpg,177591612.jpg%230r3c.jpg,4948865477.jpg%234r1c.jpg,4964794183.jpg%230r1e.jpg,3799708677.jpg%232r1n.jpg
165,6326,2349,7369,5335,13344,19469520.jpg#4r1c,2834752476.jpg#1r1e,288038357.jpg#4r1c,4586247564.jpg#1r1c,151215569.jpg#2r4n,The cyclists are all sitting in canoes.,The man is inside.,Man tapdancing on a roof,There is a person walking along a trail in the mountains.,The girl covers the man's eyes with her hand.,contradiction,entailment,contradiction,contradiction,contradiction,contradiction,entailment,contradiction,contradiction,contradiction,cyclists cannot be standing and sitting at the same time,a man sitting on a couch is inside,the man cannot be tapdancing and working on a roof simultaneously,a person cannot be walking along a trail in the mountains and walking along a pier at the same time,the girl cannot be sitting on the man's shoulders and covering the man's eyes at the same time,"if cyclists are sitting in canoes, they do not await the start of a race",the man is inside implies that he is in a room,working and tapdancing is differ in action,"person is either at the ocean or mountains, on a trail or concrete path",the girl has both hands away from his head and does not cover his eyes,entailment,contradiction,entailment,entailment,entailment,neutral,neutral,neutral,neutral,neutral,19469520.jpg%234r1c.jpg,2834752476.jpg%231r1e.jpg,288038357.jpg%234r1c.jpg,4586247564.jpg%231r1c.jpg,151215569.jpg%232r4n.jpg
170,12465,3761,6000,14421,904,2607097757.jpg#4r1n,3799708677.jpg#1r1e,2736263351.jpg#1r1e,6084817815.jpg#3r1e,4549641134.jpg#3r1c,The worker is on his lunch break.,Two monks are going for a stroll.,The man is outside.,People in bright colours dance wildly.,A woman stands by herself outside.,contradiction,entailment,entailment,entailment,contradiction,contradiction,entailment,entailment,entailment,contradiction,the worker cannot be working and on his lunch break simultaneously,walking is a form of stroll,a man is digging in the dirt outside,people in bright colours dance wildly is part of their description in a parade,the woman cannot be sitting and standing at the same time,the worker is at work he cannot said to be at lunch break,going for a stroll means walking along a path,the man is raking soil so he must be outside,they are dancing in a parade in bright color outfits,a crowd is many more people than just a woman,entailment,contradiction,contradiction,contradiction,entailment,neutral,neutral,neutral,neutral,neutral,2607097757.jpg%234r1n.jpg,3799708677.jpg%231r1e.jpg,2736263351.jpg%231r1e.jpg,6084817815.jpg%233r1e.jpg,4549641134.jpg%233r1c.jpg
175,9938,547,12200,9471,1824,5892931627.jpg#0r2n,4397606831.jpg#4r1c,4893369019.jpg#3r1n,4333374998.jpg#0r1c,511749704.jpg#4r1e,The player has just hit a home run,The celebrants are sitting on the ground crying and feeling sad.,The crowd is at a concert.,A child is being held by his mother at the mall.,The little boy is wearing red.,neutral,contradiction,neutral,contradiction,entailment,neutral,contradiction,neutral,contradiction,entailment,just because a player is swinging a bat doesn't mean he just hit a home run,the celebrants cannot be sitting on the ground crying and feeling sad and sitting on a traffic light pole simultaneously,a crowd can be at a concert or at a park,the child cannot be looking out the window and be held by his mother at the mall simultaneously,a little boy is wearing red shirt and helmet,the player is playing baseball an swinging pretty hard to the ball but the ball is not shown and it could be an strike not a home run,"climbing is an energetic, motion filled activity, sitting is a passive activity","the crowd is all looking in the same direction, but i cannot tell if they are watching a concert or not",there are usually not screen doors at the mall,a little boy in red is the same thing as wearing red,entailment,entailment,entailment,entailment,contradiction,contradiction,neutral,contradiction,neutral,neutral,5892931627.jpg%230r2n.jpg,4397606831.jpg%234r1c.jpg,4893369019.jpg%233r1n.jpg,4333374998.jpg%230r1c.jpg,511749704.jpg%234r1e.jpg
180,1325,12432,1345,6389,3574,6647904677.jpg#0r1c,582788646.jpg#3r4n,7498713846.jpg#0r1c,289639811.jpg#0r1c,3996889070.jpg#3r1e,A group of dogs on scooters.,The boy is on vacation with his family.,A guy caught a tire while out fishing,Men play hockey in a stadium.,The deer was near the girl.,contradiction,neutral,contradiction,contradiction,entailment,contradiction,neutral,contradiction,contradiction,entailment,the group of people cannot be dogs,just because a boy is at the beach doesn't mean he is on vacation with his family,the man cannot be hugging and fishing simultaneously,soccer and hockey are different sports,the deer is near the girl because the girl is petting a deer,a group of people are not a group of dogs,could be in vacation,"if a man has his hand on the back of a main, it cannot be claimed that he has caught a tire",the men are either playing soccer or they play hockey,girl reaches out to pet a deer.which means deer was near the girl,entailment,entailment,entailment,entailment,contradiction,neutral,contradiction,neutral,neutral,neutral,6647904677.jpg%230r1c.jpg,582788646.jpg%233r4n.jpg,7498713846.jpg%230r1c.jpg,289639811.jpg%230r1c.jpg,3996889070.jpg%233r1e.jpg
185,6601,13249,10030,1123,11008,2908493594.jpg#1r1c,6927848734.jpg#0r1n,4925573161.jpg#1r3n,2313598755.jpg#2r1e,2446830166.jpg#3r1n,A person standing on top of a bench,The man is a cab driver just finishing his shift as darkness falls on London.,A man rides a bike in a cycling contest.,The people are inside,The man on stilts is a performer at a party.,contradiction,neutral,neutral,entailment,neutral,contradiction,neutral,neutral,entailment,neutral,the person cannot be both laying down and standing at the same time,just because a man is driving a car doesn't mean he is a cab driver,a man riding a bike is not assumed to be in a cycling contest,a man and a child are people,a man on stilts is not assumed to be a performer at a party,a person cannot stand on a bench if they are sleeping on a bench,"it is not possible to know if the man is a taxi driver and, much less, if his shift has just finished",there is no evidence of a contest,people cuddling inside,while the man is on stilts there is no sign of a party,entailment,entailment,entailment,contradiction,entailment,neutral,contradiction,contradiction,neutral,contradiction,2908493594.jpg%231r1c.jpg,6927848734.jpg%230r1n.jpg,4925573161.jpg%231r3n.jpg,2313598755.jpg%232r1e.jpg,2446830166.jpg%233r1n.jpg
190,61,10928,1501,7547,4227,5925544950.jpg#0r1c,5526795355.jpg#4r1n,2922807898.jpg#4r1c,4480923732.jpg#4r1e,45334151.jpg#1r1e,A boy is swimming in a lake.,A man is performing at a concert.,The dog never left the ground.,A man with a baby with a phone in other hand.,A woman reads a book.,contradiction,neutral,contradiction,entailment,entailment,contradiction,neutral,contradiction,entailment,entailment,a girl is not a boy,a man playing a violin is not assumed to be performing at a concert,the dog cannot be jumping if it never left the ground,a man with a baby is holding a cellphone,a woman reads a book is part of the overall description of her reading a book,"a girl is not a boy, and fishing is not swimming","we know he's performing , but we don't know it's at a concert",the dog either leaps in the air or the dog never left the ground but not both at the same time,a cellphone is a kind of phone,"a woman in a colorful shirt reads a book, so a woman reads a book",entailment,entailment,entailment,contradiction,contradiction,neutral,contradiction,neutral,neutral,neutral,5925544950.jpg%230r1c.jpg,5526795355.jpg%234r1n.jpg,2922807898.jpg%234r1c.jpg,4480923732.jpg%234r1e.jpg,45334151.jpg%231r1e.jpg
195,10347,9608,527,11300,10696,3403263046.jpg#3r1n,637245791.jpg#3r1n,141841337.jpg#0r3c,3189464563.jpg#0r3n,3036894037.jpg#1r1n,The woman just got drafted to the WNBA.,A child is playing.,A man in a suit puts his foot under his back.,A woman with big earrings is happily holding up her prize ticket.,Two soldiers order an elderly warlord to surrender.,neutral,entailment,contradiction,neutral,contradiction,neutral,entailment,contradiction,neutral,contradiction,just because a woman is playing basketball doesn't mean she just got drafted to the wnba,a child playing with a toy is playing,a man cannot be wearing a gray sweatshirt and a suit simultaneously,the woman is not necessarily happily holding up her prize ticket,the soldiers cannot be waiting for someone and order someone to surrender simultaneously,cant assure the woman just got drafted to the wnba,the child is playing with a green toy,"a man wearing a suit is not wearing a sweatshirt, jeans and socks",we cant assure that a woman with big earrings is happily holding up her prize ticket,the two soldier are near an elderly man. they are not looking at him or paying him any attention. there is no indication that he is a warlord or that the soldiers have ordered his surrender,entailment,contradiction,entailment,entailment,entailment,contradiction,neutral,neutral,contradiction,neutral,3403263046.jpg%233r1n.jpg,637245791.jpg%233r1n.jpg,141841337.jpg%230r3c.jpg,3189464563.jpg%230r3n.jpg,3036894037.jpg%231r1n.jpg
200,9679,3848,9026,4983,7553,4444686770.jpg#1r1n,4050916276.jpg#1r1c,4005756399.jpg#4r1e,3809758561.jpg#0r3e,4549641134.jpg#4r1c,The fisherpeople have hiked to the lake.,The toddler is sitting in a chair at the table.,A man is selling items on the street.,a man stands by a booth,The people are standing inside.,neutral,contradiction,entailment,entailment,contradiction,neutral,contradiction,entailment,entailment,contradiction,just because they are fishing doesn't mean they have hiked to the lake,the toddler cannot be sitting and playing at the same time,a man selling items on the street is part of the overall description of him selling balloons and other items on the street,a man stands by a booth is part of the overall description of him in front of a booth,the people cannot be sitting and standing simultaneously,"it is unclear how these people reached this location; they could have hiked, or they could have driven, or perhaps they swam, or maybe the arrived on some sort of watercraft",one cannot be sitting in a chair and using a stick to poke,the man continues selling various items on the street,a man stainding by a vending booth is the same as a man standing by a booth,the people cannot be both seated and standing. the people cannot be both outdoors and inside,entailment,entailment,contradiction,contradiction,entailment,contradiction,neutral,neutral,neutral,neutral,4444686770.jpg%231r1n.jpg,4050916276.jpg%231r1c.jpg,4005756399.jpg%234r1e.jpg,3809758561.jpg%230r3e.jpg,4549641134.jpg%234r1c.jpg
205,8403,4012,3778,4401,12464,281658181.jpg#1r1e,4935046155.jpg#2r1n,5631556013.jpg#0r1c,2256447557.jpg#2r1e,39024981.jpg#0r1n,A female athlete is vaulting.,The street is busy.,a boy can't swim,More than one woman are chatting.,Two happy women wearing pink T-shirts and blue jeans converse outside clothing store.,entailment,entailment,contradiction,entailment,neutral,entailment,entailment,contradiction,entailment,neutral,a female athlete is a female athlete,a busy street is busy because there are cars and trucks on the street,the boy can't swim if he is jumping into the water,three women are more than one woman,not all women are happy,"if he attempts a vault, he must be vaulting next","a busy street is a street with several cars, trucks and people",a boy wouldn’t hold his nose and jump in water if he can’t swim,if women are chatting then more than one woman are chatting,two women are standing outside a clothing store and talking however they are smoking as well and the emotion is of being happy is hard to see,contradiction,contradiction,entailment,contradiction,entailment,neutral,neutral,neutral,neutral,contradiction,281658181.jpg%231r1e.jpg,4935046155.jpg%232r1n.jpg,5631556013.jpg%230r1c.jpg,2256447557.jpg%232r1e.jpg,39024981.jpg%230r1n.jpg
210,5813,243,12691,14217,689,4694894610.jpg#3r1c,6870444330.jpg#3r1e,3362080042.jpg#0r1n,2176874361.jpg#2r1n,241347243.jpg#3r1e,A cat is drinking milk.,A man is standing.,Two men playing baseball.,A dog and cow are playing with hay.,The players are on a football field,contradiction,entailment,entailment,neutral,entailment,contradiction,entailment,entailment,neutral,entailment,a cat is not a man,a man is standing in front of an audience,two men playing baseball are the same as two men playing baseball,a dog and cow running in a fenced area does not imply that they are playing with hay,football players are on a football field,an older man is not a cat,"if a man is standing with a microphone, then the man is standing","based on the men's attire, it is reasonable to assume that they are playing baseball","a dog and cow are interacting; however, it is unclear whether they are fighting or playing",answer: line of scrimmage tells its a field,entailment,contradiction,contradiction,entailment,contradiction,neutral,neutral,neutral,contradiction,neutral,4694894610.jpg%233r1c.jpg,6870444330.jpg%233r1e.jpg,3362080042.jpg%230r1n.jpg,2176874361.jpg%232r1n.jpg,241347243.jpg%233r1e.jpg
215,12980,12588,7970,1094,2461,509987636.jpg#4r1n,16396205.jpg#1r2n,154653766.jpg#1r5e,3515451715.jpg#1r1c,4368362518.jpg#2r1e,A man near a painting.,A small group of men are barbecuing sausages.,Teenagers stand near a bank.,Mother eathing a dinner iwht her children.,Musician playing guitar for people.,entailment,entailment,entailment,contradiction,entailment,entailment,entailment,entailment,contradiction,entailment,a man is near a painting,three men are a small group of men,teenagers are young men,the mother cannot be playing with her children and eating a dinner at the same time,a man is a musician,the image depicts a man sitting near a painting,there is a group of men in front of a grill with sausages barbaquing,if they are outside a wells fargo bank then they have to be near the bank,a mother cant eat dinner at the park while her children are on swings,a man playing the guitar can be an musician and and people can gather is a small group,contradiction,contradiction,contradiction,entailment,contradiction,neutral,neutral,neutral,neutral,neutral,509987636.jpg%234r1n.jpg,16396205.jpg%231r2n.jpg,154653766.jpg%231r5e.jpg,3515451715.jpg%231r1c.jpg,4368362518.jpg%232r1e.jpg
220,455,5060,8351,12262,8283,4563177695.jpg#1r1e,4890932738.jpg#2r1e,1016887272.jpg#0r1c,2949337912.jpg#2r1n,2517489722.jpg#1r3e,The two people are sitting down.,A human being travels to its destination.,The rock turned into a beast and ate the people.,A man is participating in a surfing contest.,A man is walking outside,entailment,entailment,contradiction,neutral,entailment,entailment,entailment,contradiction,neutral,entailment,two workers are two people,a person is a human,the rock cannot be both a beast and a climber,just because a man is surfing doesn't mean he is participating in a surfing contest,a man walking outside is part of the overall description of him walking along a path by a river,two people in yellow vests refers to the two people. sit in front of gates refers to sitting down,a person travels along hallway of stone archways,climbers are not rocks at the same time,i see a man surfing but i see no indiction that he is in a contest,the man is walking in the woods and the woods are outside,contradiction,contradiction,entailment,entailment,contradiction,neutral,neutral,neutral,contradiction,neutral,4563177695.jpg%231r1e.jpg,4890932738.jpg%232r1e.jpg,1016887272.jpg%230r1c.jpg,2949337912.jpg%232r1n.jpg,2517489722.jpg%231r3e.jpg
225,8737,8615,7330,13705,5631,2174648405.jpg#0r1e,137444523.jpg#2r3e,1285874746.jpg#2r3e,2768972186.jpg#4r1n,2327240505.jpg#1r1e,women are working together,A man is walking outside at night.,The girl is wearing a blue dress.,The dogs are just playing with each other.,The girl and boy are playing.,entailment,entailment,entailment,neutral,entailment,entailment,entailment,entailment,neutral,entailment,two women are women and they are working together,a man is walking outside at night in a green shirt,a girl in a blue dress is wearing a blue dress,just because the dogs are playing doesn't mean they are playing with each other,the girl and boy are playing because they are playing with a streamer,the women working the assembly line are working together,the man is on a sidewalk so that implies he is outside,"if a girl is described as being ""in a blue dress"", it can be assumed that she is wearing a blue dress",dogs are not just playing with each other because it looks like the big brown dog is biting on the white dog's tail,swings a toy shows that one is playing,contradiction,contradiction,contradiction,entailment,contradiction,neutral,neutral,neutral,contradiction,neutral,2174648405.jpg%230r1e.jpg,137444523.jpg%232r3e.jpg,1285874746.jpg%232r3e.jpg,2768972186.jpg%234r1n.jpg,2327240505.jpg%231r1e.jpg
230,1170,2810,12380,8373,2080,1303727066.jpg#2r3c,393043864.jpg#1r1e,135444196.jpg#0r2n,3597715122.jpg#3r1e,4632869465.jpg#0r1e,The man is wearing a plain shirt.,There is a selection of produce for sale.,An African American in a red top and white and brown skirt walks in front of a man in a blue shirt.,A group waits in line.,A girl holds her diploma.,contradiction,entailment,neutral,entailment,entailment,contradiction,entailment,neutral,entailment,entailment,the man is either wearing a plain shirt or a peace sign shirt,a selection of produce is a type of produce,the man is not necessarily wearing a blue shirt,a group of men are waiting in line in front of an ice cream shop,a girl holds her diploma is part of the overall description of her holding a diploma,plain is different than peace sign,fruits and vegetables are types of produce. a wide variety indicates a selection to choose form,"the long maxi cotton skirts and wraparounds with the traditional prints, floral prints, multicoloured skirts are usually worn with blue, white or black plain tank tops",people usually waits in stand,holds is another form of holding,entailment,contradiction,entailment,contradiction,contradiction,neutral,neutral,contradiction,neutral,neutral,1303727066.jpg%232r3c.jpg,393043864.jpg%231r1e.jpg,135444196.jpg%230r2n.jpg,3597715122.jpg%233r1e.jpg,4632869465.jpg%230r1e.jpg
235,1191,1467,9857,2051,4149,19469520.jpg#0r1c,4941418090.jpg#2r1c,3046312861.jpg#2r2n,4817804359.jpg#1r3c,2657844508.jpg#4r1c,The red carpet ceremony is just getting underway.,A woman is sleeping.,A girl is getting ready for a tournament in gymnastics.,Two people taking pictures in a wide open field with nobody else around.,A couple drink beer.,contradiction,contradiction,neutral,contradiction,contradiction,contradiction,contradiction,neutral,contradiction,contradiction,the ceremony cannot be both a bicycle race and a red carpet ceremony,the woman cannot be sleeping and playing the guitar simultaneously,just because a girl is on a pole does not mean she is getting ready for a tournament,the people cannot be in a wide open field and a street at the same time,wine is not beer,"if there are competitors getting ready to compete in a grand opening event, then it is not a red carpet ceremony",you cannot play a guitar and be sleeping at the same time,the girl is doing gymnastics but there's no way tell if she is getting ready for a tournament or not,the two people can not be in a crowd taking pictures while being in an open field with no one around at the same time,"one is the action of currently drinking wine, where as the other is just a random vague statement that they drink beer, but are not necessarily drinking at the moment. also wine and beer are to very different types of liquor",entailment,entailment,entailment,entailment,entailment,neutral,neutral,contradiction,neutral,neutral,19469520.jpg%230r1c.jpg,4941418090.jpg%232r1c.jpg,3046312861.jpg%232r2n.jpg,4817804359.jpg%231r3c.jpg,2657844508.jpg%234r1c.jpg
240,14223,8381,826,8707,10419,2517489722.jpg#2r1n,2910885196.jpg#1r1c,230486268.jpg#0r1e,3240637051.jpg#1r1e,4686568156.jpg#3r1n,A girl is a good climber.,The man with no shirt chases a giant cake with an electric knife.,a boy holds a shovel,The musician is performing for people.,The couple is in love.,neutral,contradiction,entailment,entailment,neutral,neutral,contradiction,entailment,entailment,neutral,just because a girl is climbing doesn't mean she is a good climber,the man cannot simultaneously be wearing a blue shirt and not be wearing a shirt,a boy is a young boy,a musician is performing for people because he is playing a drum,just because a couple is kissing doesn't mean they are in love,"we cannot tell if she is a good climber, she may be terrible at climbing",he can't have no shirt and a blue shirt,both boys hold a plastic shovel,the girl is performing by singing and playing drums,"although it is a sweet image, it's not clear they are a couple or in love",entailment,entailment,contradiction,contradiction,entailment,contradiction,neutral,neutral,neutral,contradiction,2517489722.jpg%232r1n.jpg,2910885196.jpg%231r1c.jpg,230486268.jpg%230r1e.jpg,3240637051.jpg%231r1e.jpg,4686568156.jpg%233r1n.jpg
245,9570,11361,5114,10951,5029,3367399.jpg#0r1c,3298573714.jpg#0r1n,7117115809.jpg#2r1c,6156276992.jpg#4r1n,2577972703.jpg#1r1e,A man is playing video games at his house.,She is going for a walk,A woman is cooking.,A short man using camera outside.,A girl is dirty.,contradiction,entailment,contradiction,neutral,entailment,contradiction,entailment,contradiction,neutral,entailment,the man cannot be at his house and at a gas station at the same time,a woman is a she,the woman cannot be cooking and painting at the same time,not all men are short,a girl is dirty because she is dirty because she is dirty with a dirty face,the person can't be at his house and at a gas station at the same time,"the is a women (she) who is walking her dog on a leash. hence, she is going for a walk (while walking her dog)",one woman is painting while the other is cooking,there is no way to know whether the man is short or not,with dirt implies she is dirty,entailment,contradiction,entailment,entailment,contradiction,neutral,neutral,neutral,contradiction,neutral,3367399.jpg%230r1c.jpg,3298573714.jpg%230r1n.jpg,7117115809.jpg%232r1c.jpg,6156276992.jpg%234r1n.jpg,2577972703.jpg%231r1e.jpg
